Version,YourCallsign,"Your Summit",Date,Time,Band,Mode,OtherCallsign,OtherSummit,Comments,Points,BonusPoints,ActivationID
V2,HB3/DO3IC,HB/AG-013,26/06/2020,16:23,21MHz,SSB,EA7GV,,,0,0,433992
V2,HB3/DO3IC,HB/AG-013,26/06/2020,16:46,21MHz,SSB,HB9DQM,,,0,0,433992
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:20,28MHz,SSB,EA2DT,,"RX:44 TX:55",6,0,435853
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:27,28MHz,SSB,HB9DHA,,,6,0,435853
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:29,28MHz,SSB,DD4IT,,"Markt Oberdorf",6,0,435853
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:37,21MHz,SSB,UW4E,,,6,0,435853
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:47,21MHz,SSB,EA5Z,,,6,0,435853
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:07,28MHz,SSB,HB9AGH,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:08,28MHz,SSB,SM4CJM,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:09,28MHz,SSB,HB9MKV,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:10,28MHz,SSB,SM5LNE,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:11,28MHz,SSB,DJ5AV,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:12,28MHz,SSB,GI4ONL,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:14,28MHz,SSB,HB9DDZ,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:17,28MHz,SSB,EA7GV,,,2,0,434299
V2,HB3/DO3IC,HB/BL-001,01/07/2020,09:18,28MHz,SSB,SA4BLM,,,2,0,434299
V2,HB3/DO3IC,HB/SO-008,01/07/2020,11:19,28MHz,SSB,HB9AGH,,,2,0,434300
V2,HB3/DO3IC,HB/SO-008,01/07/2020,11:30,28MHz,SSB,G0FEX,,,2,0,434300
V2,HB3/DO3IC,HB/SO-008,01/07/2020,11:40,144MHz,FM,HB9HCG,,,2,0,434300
V2,HB3/DO3IC,HB/SO-008,01/07/2020,11:47,144MHz,FM,HB9CUE,,,2,0,434300
V2,HB3/DO3IC,HB/AG-012,02/07/2020,20:59,3.5MHz,SSB,PC9DB,,,0,0,434428
V2,HB3/DO3IC,HB/AG-012,02/07/2020,21:26,3.5MHz,SSB,DK3BK,,,0,0,434428
V2,HB3/DO3IC,HB/AG-012,02/07/2020,21:30,3.5MHz,SSB,DK7AM,,,0,0,434428
Version,YourCallsign,"Your Summit",Date,Time,Band,Mode,OtherCallsign,OtherSummit,Comments,ChaserPoints,ActivatorPoints
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:15,28MHz,SSB,HB9EAJ/P,HB/SO-003,"RX:43 TX:43",2,6
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:20,28MHz,SSB,HB9GUX/P,HB/GR-294,"RX:55 TX:59",8,0
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:23,28MHz,SSB,DB7MM/P,DM/BW-359,"RX:42 TX:33",6,0
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:25,28MHz,SSB,DL/HB9CDH/P,DM/BW-348,,8,0
V2,HB3/DO3IC/P,HB/AI-013,27/06/2020,12:45,21MHz,SSB,HB9EIZ/P,HB/AR-004,,2,0
V2,HB3/DO3IC,HB/SO-008,01/07/2020,11:44,144MHz,FM,HB9BXQ/P,HB/BE-138,,8,2
V2,HB3/DO3IC,HB/SO-008,01/07/2020,11:46,144MHz,FM,HB9GUX,HB/SZ-010,,8,0
